vid,pid,uid,video_height,video_width,video_duration,video_ratio,video_format,music_title,music_duration,post_content,post_location,post_suggested_words,post_text_language,video_path,post_time,user_following_count,user_follower_count,user_likes_count,user_video_count,user_digg_count,user_heart_count,user_friend_count,popularity,video_details,total_frames,frame_rate,ratio_number,video_is_heng,video_area,video_height/width,video_width/height,post_time_normalized,year,month,day,hour,is_holiday,time_period,is_title,len_title,is_suggested,len_suggested,big_music,log_user_following_count,log_user_follower_count,log_user_likes_count,log_user_video_count,log_user_digg_count,log_user_heart_count,log_music_duration,log_video_duration,uid_popularity,time_period_popularity,post_text_language_popularity,post_location_popularity,big_music_popularity,music_title_popularity,year_popularity,month_popularity,day_popularity,hour_popularity,video_ratio_popularity,likes_per_video,followers_per_following,digg_pre_like_ratio,log_likes_per_video,log_followers_per_following,log_digg_pre_like_ratio,log_likes_per_log_video,log_followers_per_log_following,log_digg_pre_log_like_ratio,main_cluster_popularity,has_face,face_frame_rate,avg_faces_per_frame,multi_person_ratio,avg_face_area_ratio,max_face_area_ratio,close_up_ratio,dominant_emotion,emotion_distribution,rms_mean,rms_std,zcr_mean,tempo,beat_std,spectral_centroid_mean,spectral_rolloff_mean,spectral_contrast_mean,chroma_mean,emotion_label,mfcc_1_mean,delta_mfcc_1_mean,mfcc_2_mean,delta_mfcc_2_mean,mfcc_3_mean,delta_mfcc_3_mean,emotion_entropy,positive_emotion_ratio,cluster_total_count,main_cluster,main_cluster_count,main_cluster_freq
VIDEO00000787,POST00000001,USER00003541,1024,576,12,540p,mp4,original sound,12,"NYE,dinner,garlic,butter,outdoors,bye2021,endingtheyear,with,garlicbreath,garlicbreathfordays",AU,[],en,train/USER00003541/VIDEO00000787.mp4,2022-01-01 15:56,23,16,247,15,89,247,0,2.68,"(378, 30)",378,30,540,False,589824,1.7777777777777777,0.5625,0.0,2022,1,1,15,True,Work Time,True,10,False,0,original sound,3.1780538303479453,2.833213344056216,5.513428746164982,2.772588722239781,4.499809670330265,5.513428746164982,2.5649493574615367,2.5649493574615367,1,1425,3210,115,1470,1470,1235,331,132,202,3446,15.4375,0.6666666666666666,0.3588709677419355,2.799565309937983,0.5108256237659905,0.3066541841873795,1.461444422410208,0.6781179609215969,0.6908511393449559,11,0,0.0,0.0,0.0,0.0,0.0,0.0,none,{},0.0328058302402496,0.0075513860210776,0.5579645493451286,123.046875,1.2367699866992246,5964.88510131254,9746.980644674864,18.48854686241864,0.5556555986404419,unknown,-183.1827545166016,0.2833321094512939,-18.162004470825195,-0.0724518224596977,25.3769588470459,-0.0343741960823535,0.0,0.0,6,75,3,0.5
VIDEO00000788,POST00000002,USER00002168,1024,576,52,540p,mp4,FEEL THE GROOVE,112,"IPPUDO,Cupertino,CA,food,foodporn,foodie,foodphotography,yummy,foodstagram,delicious,love,foodblogger,foodlover,follow,bayarea",US,[],it,train/USER00002168/VIDEO00000788.mp4,2022-01-02 04:53,25,1144,10900,131,276,10900,0,4.2,"(1572, 30)",1572,30,540,False,589824,1.7777777777777777,0.5625,0.0008885595386351,2022,1,2,4,False,Sleep Time,True,15,False,0,FEEL THE GROOVE,3.2580965380214817,7.04315991598834,9.29660980712836,4.882801922586371,5.6240175061873385,9.29660980712836,4.727387818712341,3.9702919135521215,1,1379,7,2529,6,6,1235,331,134,110,3446,82.57575757575758,44.0,0.0253187780937528,4.425753496886767,3.80666248977032,0.025003567257253,1.5803030476744506,1.6540629957772008,0.54620089636628,7,1,0.4423,1.1739,0.1739,0.0969,0.3467,0.0435,fear,"{'fear': 0.5, 'neutral': 0.5}",0.1124214306473732,0.0727481171488761,0.1134173886995789,123.046875,1.0927399039527383,2122.897441424492,4069.183609333444,24.976278829912737,0.3811401724815368,unknown,-169.5161895751953,-0.0411518365144729,102.67572784423828,-0.0237852595746517,-15.893308639526367,0.0057644159533083,1.0,0.5,3,297,1,0.3333333333333333
VIDEO00000789,POST00000003,USER00003079,1024,576,56,540p,mp4,оригинальный звук,56,,RU,[],ru,train/USER00003079/VIDEO00000789.mp4,2022-01-02 18:34,4,239600,4200000,95,1471,4200000,0,11.08,"(1702, 30)",1702,30,540,False,589824,1.7777777777777777,0.5625,0.0018274364771416,2022,1,2,18,True,Leisure Time,False,1,False,0,оригинальный звук,1.6094379124341005,12.386730318837426,15.250595321348806,4.564348191467836,7.294377299288821,15.250595321348806,4.04305126783455,4.04305126783455,1,1196,3,7,23,23,1235,331,134,256,3446,43750.0,47920.0,0.000350238011848,10.686269748667396,10.777309100685118,0.0003501766928326,2.7407694120819937,4.746895973195624,0.4488683125168971,93,1,0.0172,1.0,0.0,0.0099,0.0099,0.0,none,{},0.1003756895661354,0.0735112205147743,0.1565200025562372,129.19921875,1.3992542931130938,2788.2254168364825,5073.799517110813,24.38888729489485,0.3211380541324615,unknown,-231.18484497070312,-0.1166287958621978,66.375244140625,-0.0107319904491305,15.40235996246338,-0.003446149174124,0.0,0.0,0,-1,0,0.0
VIDEO00000791,POST00000004,USER00003186,1024,576,7,540p,mp4,оригинальный звук,7,,RU,[],un,train/USER00003186/VIDEO00000791.mp4,2022-01-03 20:30,1998,1012,60,13,2962,60,0,1.93,"(190, 25)",190,25,540,False,589824,1.7777777777777777,0.5625,0.0036068427089515,2022,1,3,20,True,Leisure Time,False,1,False,0,оригинальный звук,7.6004023345004,6.920671504248683,4.110873864173311,2.6390573296152584,7.993957547573565,4.110873864173311,2.079441541679836,2.079441541679836,1,1196,476,7,23,23,1235,331,120,227,3446,4.285714285714286,0.5062531265632816,48.55737704918032,1.6650077635889111,0.4096251939813338,3.9031311306061465,1.1296535041419469,0.8046915987274806,1.5641077749169996,93,0,0.0,0.0,0.0,0.0,0.0,0.0,none,{},0.3105683028697967,0.2070140391588211,0.1275462519171779,151.99908088235293,0.8569568250501305,2978.7522239937,6346.28411977569,22.389273009345075,0.4137655198574066,unknown,-44.73630142211914,0.2000213414430618,55.8260383605957,-0.1431839764118194,8.930987358093262,0.0889811068773269,0.0,0.0,0,-1,0,0.0
VIDEO00000792,POST00000005,USER00000952,1024,576,17,540p,mp4,Paradise,60,"First,time,ever,seeing,snow,sevierville,gatlinburg,pidgenforge,smokymountainstennessee,godscountry,winter,snow",US,[],en,train/USER00000952/VIDEO00000792.mp4,2022-01-04 04:14,1440,155,631,2,104700,631,0,5.93,"(517, 30)",517,30,540,False,589824,1.7777777777777777,0.5625,0.0041374625621391,2022,1,4,4,False,Sleep Time,True,12,False,0,Paradise,7.273092595999522,5.049856007249537,6.448889394146857,1.0986122886681096,11.558863947911393,6.448889394146857,4.110873864173311,2.8903717578961645,1,1379,3210,2529,6,6,1235,331,119,110,3446,210.3333333333333,0.1075641915336571,165.66455696202533,5.353436665769116,0.1021631820102319,5.115983151446118,3.07293034972156,0.6103951996973187,1.551756689660884,3,1,0.2941,1.0,0.0,0.0012,0.0027,0.0,none,{},0.2239774167537689,0.108795441687107,0.0865494967149595,123.046875,0.8989790127172728,2205.713706395047,4702.001262160967,23.45044188504105,0.4638188183307647,unknown,-107.15753173828124,0.3045625686645508,93.4773941040039,0.0848692432045936,17.02199935913086,0.0875496491789817,0.0,0.0,6,76,3,0.5
VIDEO00000793,POST00000006,USER00003625,1024,576,56,540p,mp4,original sound,55,"Cherry,made,by,pipe,cleaners,diyprojectsideas,pipecleanerart,pipecleaners,cherryhair,fyp,handmade,handcraft",US,[],en,train/USER00003625/VIDEO00000793.mp4,2022-01-05 05:28,2395,1089,6971,59,268,6971,0,6.11,"(1679, 30)",1679,30,540,False,589824,1.7777777777777777,0.5625,0.0058688385486174,2022,1,5,5,False,Sleep Time,True,12,False,0,original sound,7.78155595923534,6.993932975223189,8.849657406639912,4.0943445622221,5.594711379601839,8.849657406639912,4.025351690735149,4.04305126783455,1,1379,3210,2529,1470,1470,1235,331,116,100,3446,116.18333333333334,0.4545075125208681,0.0384394721744119,4.763739659977061,0.3746673639592843,0.0377190787398504,1.737153288033541,0.7964343685435207,0.568010759016887,3,1,0.0727,1.0,0.0,0.0228,0.05,0.0,none,{},0.1352063119411468,0.0474279895424842,0.0467838271524896,89.10290948275862,1.4440280927527456,1232.5669526562103,2578.3732332728214,28.95951911538387,0.3101557791233063,unknown,-201.0065460205078,0.0629401132464408,128.47476196289062,0.0224091988056898,30.739904403686523,0.0145930089056491,0.0,0.0,1,235,1,1.0
VIDEO00000794,POST00000007,USER00001876,1024,576,62,540p,mp4,Happy and fun corporate music for advertising.,130,"Patinando,sobre,hielo,en,bryantpark,newyork,ny,nyc,nuevayork,foryou,parati,iceskating,invierno,invierno2021,viajes,nieve,postcovid",US,[],es,train/USER00001876/VIDEO00000794.mp4,2022-01-07 02:41,84,8643,83000,117,1055,83000,0,3.71,"(1874, 30)",1874,30,540,False,589824,1.7777777777777777,0.5625,0.0089713636815869,2022,1,7,2,False,Sleep Time,True,17,False,0,Happy and fun corporate music for advertising.,4.442651256490317,9.064620717626775,11.326607934898927,4.770684624465664,6.962243464266207,11.326607934898927,4.875197323201151,4.143134726391533,1,1379,100,2529,2,2,1235,331,132,165,3446,703.3898305084746,101.68235294117648,0.0127106902326477,6.557331939420269,4.63164027102259,0.0126305874696839,1.96278408403712,1.665478879767887,0.5648142214821967,342,1,0.5484,1.1765,0.1471,0.011,0.0844,0.0,none,{},0.0763916373252868,0.0382604971528053,0.0822610507667286,123.046875,1.2036310228653258,1916.806474905888,4064.60421991171,22.951425475015554,0.3769096732139587,unknown,-197.2884826660156,-0.0338335298001766,108.25113677978516,-0.0012458758428692,13.55871868133545,-0.006088095717132,0.0,0.0,8,303,3,0.375
VIDEO00000795,POST00000008,USER00003009,1024,576,17,540p,mp4,Intro,60,"design,housedesign,designer,house,housetour,foryou,foryourpage,usa,art,buildingahouse,decoration,fyp,room,satisfyingvideo",ES,[],un,train/USER00003009/VIDEO00000795.mp4,2022-01-08 09:47,8,1600000,15300000,678,681,15300000,0,7.89,"(511, 30)",511,30,540,False,589824,1.7777777777777777,0.5625,0.0111052788670351,2022,1,8,9,False,Work Time,True,14,False,0,Intro,2.197224577336219,14.285514812209811,16.54336345172214,6.520621127558696,6.5250296578434615,16.54336345172214,4.110873864173311,2.8903717578961645,1,1425,476,27,2,2,1235,331,126,76,3446,22533.13696612665,177777.77777777778,4.450980101243131e-05,10.022786636904211,12.08829523485797,4.4508810480648e-05,2.1997336617716785,4.468098648269447,0.3719372100908582,5,0,0.0,0.0,0.0,0.0,0.0,0.0,none,{},0.1021790355443954,0.0790815576910972,0.0726406623038881,151.99908088235293,0.9860132971832696,1586.2154983665578,2654.474035161579,27.027050562540264,0.2577870488166809,unknown,-311.7054443359375,0.351878672838211,127.21050262451172,0.1420846432447433,17.590049743652344,0.0058176266029477,0.0,0.0,7,166,2,0.2857142857142857
VIDEO00000796,POST00000009,USER00002846,1024,576,59,540p,mp4,Love Grows (Where My Rosemary Goes),60,"The,making,of,the,100,layer,donut,is,a,three,day,process,so,worth,every,bite,fyp,100layerdonut,boostofhope,food,nashville,atlanta,fivedaughtersbakery",US,[],en,train/USER00002846/VIDEO00000796.mp4,2022-01-10 02:04,1,37800,432500,242,359,432500,0,10.59,"(1778, 30)",1778,30,540,False,589824,1.7777777777777777,0.5625,0.0138693051281435,2022,1,10,2,False,Sleep Time,True,23,False,0,Love Grows (Where My Rosemary Goes),0.6931471805599453,10.540090836284206,12.977339917490124,5.493061443340548,5.886104031450156,12.977339917490124,4.110873864173311,4.0943445622221,1,1379,3210,2529,1,1,1235,331,113,165,3446,1779.835390946502,18900.0,0.0008300558842638,7.484837853946052,9.846970109700957,0.0008297115783938,1.998647330035668,6.225147439809966,0.4211176136658704,136,1,0.2373,1.0,0.0,0.0054,0.02,0.0,none,{},0.2596369683742523,0.0595026910305023,0.0846689636804467,107.666015625,1.2674204411250838,1971.4676358435447,4352.196175028164,24.7702187244149,0.3309052586555481,unknown,-40.14970779418945,0.0303198751062154,111.3987045288086,0.001170355360955,1.650819182395935,0.0112205054610967,0.0,0.0,8,274,2,0.25
VIDEO00000797,POST00000010,USER00002811,1024,576,25,540p,mp4,original sound,25,"officespace,milton,xyzbca,fyp,foryoupage,genx,generationx,90smovies,cake,happybirthdaytome",US,[],un,train/USER00002811/VIDEO00000797.mp4,2022-01-10 13:46,4638,26700,1200000,3567,22100,1200000,0,6.56,"(1504, 60)",1504,60,540,False,589824,1.7777777777777777,0.5625,0.0146720963715436,2022,1,10,13,False,Work Time,True,10,False,0,original sound,8.442254104751743,10.192456296870509,13.997832948091215,8.1797604936999,10.003378135350925,13.997832948091215,3.2580965380214817,3.2580965380214817,2,1425,476,2529,1470,1470,1235,331,113,143,3446,336.32286995515693,5.755550765251131,0.0184166513194572,5.82104054277874,1.910364502544535,0.0182491185981868,1.524858187498244,1.0794515995646878,0.6669882355653295,14,1,0.88,6.2273,1.0,0.0049,0.0193,0.0,none,{},0.0137151544913649,0.0107151940464973,0.0663872612847222,112.34714673913044,1.3150244374776543,1914.406024124984,4207.368570963542,21.521571985550874,0.3763574659824371,unknown,-374.0487365722656,0.0325837768614292,101.42142486572266,-0.0478455871343612,2.022924423217773,0.0283382292836904,0.0,0.0,3,86,1,0.3333333333333333
